 shampoo, hand soap, waffles, vegetables, cheeses, mixes, milk, sandwich bags, laundry detergent, dishwashing liquid/detergent, waffles, individual meals, hand soap, vegetables, individual meals, yogurt, cereals, shampoo, vegetables, aluminum foil
 juice, lunch meat, soda, toilet paper, all- purpose, ,,,,,,,,,,,,,,
 juice, paper towels, waffles, soda, cheeses, poultry, toilet paper, vegetables, ,,,,,,,,,,,
 poultry, coffee/tea, coffee/tea, dishwashing liquid/detergent, ,,,,,,,,,,,,,,,
 tortillas, pork, shampoo, lunch meat, pasta, juice, bagels, vegetables, bagels, vegetables, laundry detergent, yogurt, sugar, waffles, hand soap, hand soap, butter, juice, spaghetti sauce, vegetables
 fruits, all- purpose, aluminum foil, laundry detergent, individual meals, flour, pork, shampoo, sugar, aluminum foil, shampoo, soap, bagels, toilet paper, juice, ice cream, ice cream, sandwich loaves, soap, sugar
 dinner rolls, individual meals, shampoo, ketchup, cereals, sandwich bags, laundry detergent, vegetables, sandwich loaves, cheeses, vegetables, ,,,,,,,,
 ice cream, cereals, paper towels, bagels, mixes, lunch meat, juice, toilet paper, cheeses, paper towels, paper towels, juice, aluminum foil, fruits, butter, sandwich loaves, tortillas, spaghetti sauce, hand soap, 
 sandwich bags, flour, juice, milk, paper towels, cereals, sandwich bags, pasta, soda, dishwashing liquid/detergent, ice cream, soap, cheeses, beef, flour, dinner rolls, ,,,
 hand soap, pasta, individual meals, spaghetti sauce, cereals, sandwich loaves, hand soap, individual meals, ,,,,,,,,,,,
 toilet paper, bagels, shampoo, coffee/tea, ,,,,,,,,,,,,,,,
 laundry detergent, coffee/tea, eggs, aluminum foil, beef, juice, flour, sugar, individual meals, waffles, bagels, vegetables, coffee/tea, spaghetti sauce, butter, beef, ,,,
 fruits, all- purpose, pork, juice, bagels, mixes, ,,,,,,,,,,,,,
 vegetables, cereals, sugar, bagels, soda, ,,,,,,,,,,,,,,
 sugar, pork, sandwich loaves, tortillas, ice cream, all- purpose, yogurt, fruits, pasta, lunch meat, dishwashing liquid/detergent, juice, vegetables, vegetables, ,,,,,
 butter, sandwich loaves, spaghetti sauce, juice, dinner rolls, all- purpose, pork, yogurt, vegetables, spaghetti sauce, vegetables, ,,,,,,,,
 bagels, cheeses, sandwich loaves, toilet paper, ,,,,,,,,,,,,,,,
 eggs, ice cream, pasta, juice, waffles, shampoo, dinner rolls, soda, vegetables, laundry detergent, hand soap, waffles, cereals, vegetables, toilet paper, individual meals, yogurt, spaghetti sauce, ice cream, soda
 paper towels, individual meals, dinner rolls, vegetables, lunch meat, sugar, soap, eggs, beef, yogurt, soda, sandwich loaves, aluminum foil, dinner rolls, soap, cheeses, sandwich loaves, ice cream, ketchup, 
 pork, sandwich bags, ketchup, coffee/tea, vegetables, soda, poultry, pasta, all- purpose, coffee/tea, paper towels, individual meals, vegetables, poultry, flour, aluminum foil, soap, yogurt, mixes, soda
 mixes, vegetables, soap, hand soap, tortillas, coffee/tea, cheeses, tortillas, cheeses, ice cream, tortillas, beef, yogurt, spaghetti sauce, soda, eggs, ,,,
 cheeses, cereals, mixes, laundry detergent, juice, pork, bagels, sandwich loaves, yogurt, milk, sandwich loaves, spaghetti sauce, cereals, individual meals, eggs, ,,,,
 lunch meat, dinner rolls, shampoo, vegetables, hand soap, mixes, vegetables, pasta, sugar, vegetables, ,,,,,,,,,
 sandwich bags, poultry, beef, coffee/tea, mixes, poultry, sandwich loaves, shampoo, ice cream, poultry, shampoo, ,,,,,,,,
 hand soap, fruits, poultry, coffee/tea, sugar, tortillas, soda, individual meals, tortillas, milk, toilet paper, soda, poultry, coffee/tea, spaghetti sauce, cheeses, flour, lunch meat, ,
 hand soap, waffles, laundry detergent, shampoo, lunch meat, cheeses, vegetables, hand soap, cereals, vegetables, dishwashing liquid/detergent, soda, spaghetti sauce, aluminum foil, laundry detergent, flour, poultry, juice, ,
 spaghetti sauce, sandwich bags, ice cream, fruits, soap, cheeses, waffles, tortillas, sugar, toilet paper, ketchup, beef, beef, poultry, milk, dinner rolls, dinner rolls, eggs, soap, paper towels
 mixes, individual meals, laundry detergent, coffee/tea, hand soap, pasta, individual meals, cereals, spaghetti sauce, pasta, cereals, fruits, flour, vegetables, soap, individual meals, ketchup, ,,
 aluminum foil, sandwich bags, all- purpose, shampoo, beef, sandwich loaves, aluminum foil, ice cream, fruits, lunch meat, all- purpose, bagels, vegetables, sandwich loaves, waffles, pork, ,,,
 cereals, beef, flour, sugar, beef, eggs, aluminum foil, vegetables, pork, soda, mixes, vegetables, ketchup, vegetables, vegetables, ,,,,
 cereals, mixes, cereals, pork, cheeses, poultry, all- purpose, ketchup, dishwashing liquid/detergent, hand soap, beef, ketchup, mixes, ice cream, sandwich loaves, butter, dinner rolls, ,,
 tortillas, soda, beef, flour, eggs, vegetables, cheeses, lunch meat, coffee/tea, yogurt, dinner rolls, ice cream, pasta, fruits, fruits, paper towels, dishwashing liquid/detergent, soda, pasta, ice cream
 poultry, eggs, eggs, ketchup, beef, toilet paper, soda, pork, ice cream, hand soap, shampoo, yogurt, fruits, waffles, dinner rolls, flour, juice, eggs, sugar, 
 sandwich loaves, laundry detergent, ice cream, spaghetti sauce, milk, vegetables, all- purpose, cereals, hand soap, waffles, cereals, lunch meat, poultry, milk, dinner rolls, lunch meat, sandwich loaves, aluminum foil, sandwich bags, 
 flour, laundry detergent, poultry, milk, cheeses, pork, cereals, aluminum foil, ,,,,,,,,,,,
 fruits, all- purpose, juice, toilet paper, ,,,,,,,,,,,,,,,
 yogurt, ice cream, ice cream, toilet paper, ice cream, coffee/tea, sandwich bags, soda, ketchup, aluminum foil, all- purpose, pork, eggs, waffles, ,,,,,
 butter, flour, vegetables, bagels, sandwich bags, ice cream, sandwich loaves, flour, individual meals, ice cream, cheeses, milk, sandwich bags, poultry, vegetables, soda, cheeses, vegetables, all- purpose, aluminum foil
 hand soap, shampoo, beef, paper towels, mixes, lunch meat, pasta, shampoo, hand soap, pasta, milk, toilet paper, butter, eggs, ,,,,,
 milk, yogurt, sugar, laundry detergent, vegetables, dishwashing liquid/detergent, cereals, ,,,,,,,,,,,,
 soda, ketchup, poultry, vegetables, ,,,,,,,,,,,,,,,
 toilet paper, all- purpose, vegetables, juice, bagels, cheeses, fruits, vegetables, toilet paper, shampoo, eggs, butter, shampoo, butter, fruits, sugar, pasta, ,,
 pasta, sugar, ketchup, waffles, all- purpose, vegetables, fruits, sandwich bags, sandwich bags, hand soap, dishwashing liquid/detergent, butter, ,,,,,,,
 ketchup, milk, cereals, dishwashing liquid/detergent, butter, ice cream, laundry detergent, butter, aluminum foil, cereals, vegetables, spaghetti sauce, hand soap, mixes, ketchup, coffee/tea, bagels, toilet paper, juice, mixes
 individual meals, coffee/tea, lunch meat, butter, paper towels, pasta, ,,,,,,,,,,,,,
 dishwashing liquid/detergent, ketchup, dishwashing liquid/detergent, sugar, mixes, all- purpose, fruits, cereals, ice cream, lunch meat, sugar, ,,,,,,,,
 dishwashing liquid/detergent, fruits, mixes, bagels, beef, ice cream, individual meals, bagels, butter, ,,,,,,,,,,
 toilet paper, butter, lunch meat, individual meals, toilet paper, butter, poultry, cheeses, laundry detergent, spaghetti sauce, waffles, sandwich loaves, ,,,,,,,
 vegetables, ketchup, soda, fruits, aluminum foil, yogurt, bagels, yogurt, milk, eggs, dishwashing liquid/detergent, ,,,,,,,,
 soda, bagels, milk, fruits, pasta, spaghetti sauce, soap, cheeses, spaghetti sauce, juice, fruits, beef, toilet paper, dishwashing liquid/detergent, flour, sandwich loaves, tortillas, mixes, waffles, toilet paper
 all- purpose, vegetables, individual meals, vegetables, toilet paper, pork, sandwich bags, paper towels, toilet paper, shampoo, coffee/tea, shampoo, juice, waffles, beef, ,,,,
 soap, cheeses, sandwich loaves, aluminum foil, bagels, tortillas, individual meals, hand soap, butter, ,,,,,,,,,,
 aluminum foil, pork, fruits, sandwich bags, poultry, coffee/tea, bagels, hand soap, vegetables, mixes, ketchup, waffles, paper towels, tortillas, waffles, tortillas, beef, ketchup, toilet paper, eggs
 ketchup, all- purpose, beef, shampoo, sandwich loaves, coffee/tea, ketchup, vegetables, milk, butter, vegetables, pork, yogurt, vegetables, ice cream, pasta, ,,,
 individual meals, shampoo, beef, sandwich bags, eggs, vegetables, shampoo, sandwich loaves, ketchup, poultry, dishwashing liquid/detergent, beef, lunch meat, cereals, individual meals, spaghetti sauce, shampoo, sandwich loaves, tortillas, 
 individual meals, sugar, spaghetti sauce, pasta, vegetables, cheeses, cheeses, fruits, fruits, lunch meat, vegetables, fruits, spaghetti sauce, individual meals, beef, coffee/tea, cereals, beef, dishwashing liquid/detergent, hand soap
 beef, aluminum foil, dishwashing liquid/detergent, eggs, juice, laundry detergent, beef, soda, laundry detergent, aluminum foil, soap, ,,,,,,,,
 paper towels, individual meals, individual meals, aluminum foil, beef, ,,,,,,,,,,,,,,
 cereals, sugar, tortillas, coffee/tea, sandwich loaves, dishwashing liquid/detergent, dishwashing liquid/detergent, dinner rolls, vegetables, mixes, all- purpose, ice cream, ,,,,,,,
 bagels, shampoo, sandwich bags, soap, ice cream, juice, shampoo, spaghetti sauce, vegetables, yogurt, ketchup, ,,,,,,,,
 bagels, soda, vegetables, shampoo, vegetables, poultry, eggs, waffles, lunch meat, dinner rolls, beef, butter, ,,,,,,,
 soap, pork, tortillas, soap, ,,,,,,,,,,,,,,,
 fruits, paper towels, sugar, individual meals, hand soap, milk, soda, ,,,,,,,,,,,,
 coffee/tea, pork, aluminum foil, cheeses, soda, soda, bagels, vegetables, ,,,,,,,,,,,
 laundry detergent, juice, ketchup, cheeses, aluminum foil, waffles, pasta, vegetables, yogurt, eggs, aluminum foil, tortillas, toilet paper, paper towels, sandwich bags, aluminum foil, all- purpose, ice cream, dishwashing liquid/detergent, cheeses
 eggs, tortillas, vegetables, soda, vegetables, cereals, vegetables, mixes, toilet paper, bagels, dinner rolls, ,,,,,,,,
 butter, cereals, cereals, vegetables, lunch meat, milk, milk, ice cream, butter, butter, poultry, paper towels, cheeses, lunch meat, waffles, beef, mixes, cereals, ice cream, cereals
 cereals, lunch meat, sandwich loaves, vegetables, vegetables, pork, butter, poultry, soap, toilet paper, ,,,,,,,,,
 sandwich bags, flour, all- purpose, shampoo, coffee/tea, bagels, shampoo, ,,,,,,,,,,,,
 cereals, ketchup, shampoo, dishwashing liquid/detergent, bagels, beef, eggs, pasta, dishwashing liquid/detergent, individual meals, waffles, soap, milk, pork, cereals, aluminum foil, soda, mixes, vegetables, 
 pasta, all- purpose, bagels, lunch meat, poultry, paper towels, coffee/tea, sugar, cereals, vegetables, hand soap, dishwashing liquid/detergent, mixes, bagels, ,,,,,
 poultry, vegetables, pork, vegetables, vegetables, vegetables, individual meals, hand soap, vegetables, hand soap, pasta, all- purpose, toilet paper, mixes, spaghetti sauce, juice, spaghetti sauce, tortillas, ,
 laundry detergent, cereals, toilet paper, sandwich bags, poultry, vegetables, ketchup, mixes, dishwashing liquid/detergent, poultry, pork, flour, lunch meat, eggs, waffles, vegetables, vegetables, yogurt, vegetables, lunch meat
 fruits, dishwashing liquid/detergent, mixes, vegetables, waffles, poultry, soda, pork, sugar, poultry, flour, dishwashing liquid/detergent, hand soap, bagels, coffee/tea, dinner rolls, beef, flour, ,
 sandwich loaves, vegetables, paper towels, vegetables, pasta, dishwashing liquid/detergent, ketchup, soda, soda, sandwich bags, dinner rolls, all- purpose, ketchup, waffles, spaghetti sauce, vegetables, shampoo, aluminum foil, ,
 bagels, coffee/tea, eggs, dishwashing liquid/detergent, cheeses, laundry detergent, hand soap, ,,,,,,,,,,,,
 ice cream, shampoo, vegetables, milk, toilet paper, cereals, laundry detergent, dinner rolls, sugar, pork, flour, sugar, ,,,,,,,
 pasta, ketchup, sandwich bags, waffles, sugar, beef, pork, milk, ice cream, soda, fruits, cereals, vegetables, fruits, flour, bagels, ,,,
 paper towels, sugar, vegetables, sandwich loaves, spaghetti sauce, shampoo, ,,,,,,,,,,,,,
 beef, beef, sugar, toilet paper, aluminum foil, aluminum foil, hand soap, all- purpose, yogurt, eggs, flour, fruits, waffles, waffles, waffles, spaghetti sauce, yogurt, sandwich bags, all- purpose, aluminum foil
 juice, waffles, vegetables, waffles, lunch meat, spaghetti sauce, juice, all- purpose, flour, soap, waffles, juice, spaghetti sauce, vegetables, pork, lunch meat, juice, cheeses, mixes, aluminum foil
 coffee/tea, sugar, cheeses, tortillas, all- purpose, milk, pasta, poultry, paper towels, yogurt, eggs, toilet paper, bagels, pork, milk, ice cream, ,,,
